COAD-LAML 增强实验记录 (SyNG-BTS 2.6)
格式: case_id-标准化-batch-off_aug-模型-data_type-状态|时间戳|耗时|完成比例|已完成/总数
COAD_5-2-TC-batch12-offaug_none-CVAE1-100-miRNA-success|2026-03-31 00:12:24|0:00:22|26.0%|187/720
COAD_5-2-TC-batch12-offaug_none-CVAE1-200-miRNA-success|2026-03-31 00:12:43|0:00:18|26.1%|188/720
COAD_5-2-TC-batch12-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-31 00:15:32|0:02:49|26.2%|189/720
COAD_5-2-TC-batch12-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-31 00:19:07|0:03:34|26.4%|190/720
COAD_5-2-TC-batch12-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-31 00:21:42|0:02:35|26.5%|191/720
COAD_5-2-TC-batch13-offaug_none-CVAE1-50-miRNA-success|2026-03-31 00:22:06|0:00:23|26.7%|192/720
COAD_5-2-TC-batch13-offaug_none-CVAE1-100-miRNA-success|2026-03-31 00:22:28|0:00:22|26.8%|193/720
COAD_5-2-TC-batch13-offaug_none-CVAE1-200-miRNA-success|2026-03-31 00:22:54|0:00:25|26.9%|194/720
COAD_5-2-TC-batch13-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-31 00:26:03|0:03:09|27.1%|195/720
COAD_5-2-TC-batch13-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-31 00:29:56|0:03:53|27.2%|196/720
COAD_5-2-TC-batch13-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-31 00:33:38|0:03:41|27.4%|197/720
COAD_5-2-TC-batch14-offaug_none-CVAE1-50-miRNA-success|2026-03-31 00:34:01|0:00:23|27.5%|198/720
COAD_5-2-TC-batch14-offaug_none-CVAE1-100-miRNA-success|2026-03-31 00:34:24|0:00:22|27.6%|199/720
COAD_5-2-TC-batch14-offaug_none-CVAE1-200-miRNA-success|2026-03-31 00:34:44|0:00:19|27.8%|200/720
COAD_5-2-TC-batch14-offaug_AE_head-CVAE1-50-miRNA-success|2026-03-31 00:37:50|0:03:06|27.9%|201/720
COAD_5-2-TC-batch14-offaug_AE_head-CVAE1-100-miRNA-success|2026-03-31 00:41:19|0:03:29|28.1%|202/720
COAD_5-2-TC-batch14-offaug_AE_head-CVAE1-200-miRNA-success|2026-03-31 00:44:09|0:02:50|28.2%|203/720
COAD_5-2-TC-batch15-offaug_none-CVAE1-50-miRNA-success|2026-03-31 00:44:30|0:00:20|28.3%|204/720
